,users,followingRatio,order,freq,features,probability,prediction
26,anja menih,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0407954340098813e-22,8.547244488257657e-09,1.8130410750429473e-18,0.9999999914527555]",3
27,anja.r,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[1.600774221687733e-17,1.0777919832378664e-09,4.0388715238091394e-07,0.9999995950350556]",3
28,Ankica,0.5,1.0,0.09090909090909093,"[0.5,1.0,0.09090909090909093]","[1.91298175393841e-23,2.235544530142127e-09,9.522894874884421e-09,0.9999999882415607]",3
29,Annie,0.07692307692307693,1.0,1.0,"[0.07692307692307693,1.0,1.0]","[9.509684258007823e-09,2.0261189931758768e-11,2.4828464455786004e-16,0.9999999904700543]",3
30,Annie Cornu,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0407954340098813e-22,8.547244488257657e-09,1.8130410750429473e-18,0.9999999914527555]",3
31,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,"[0.3333333333333333,1.0,0.3333333333333333]","[1.619710512627647e-14,2.5564688389137813e-09,5.324152879908503e-09,0.9999999921193621]",3
32,anton jane��,0.2,1.0,0.3636363636363637,"[0.2,1.0,0.3636363636363637]","[2.0597050037273773e-10,2.1785068239502387e-09,1.335154942813899e-08,0.9999999842639732]",3
33,Anze-G,1.0,1.0,0.25,"[1.0,1.0,0.25]","[1.979835699081564e-22,2.1945507709104314e-08,1.3402015962866775e-21,0.9999999780544923]",3
34,Anzze99,0.16666666666666666,0.875,0.6666666666666666,"[0.16666666666666666,0.875,0.6666666666666666]","[0.997412165594301,0.0011188477628522463,0.0014689866428467932,1.1034105785528035e-17]",0
35,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,"[0.19999999999999998,1.0,0.7142857142857143]","[1.0427443884485892e-09,4.455972826282022e-10,1.954173792181085e-12,0.9999999985097042]",3
36,babao,0.16666666666666666,0.5833333333333334,0.0,"[0.16666666666666666,0.5833333333333334,0.0]","[6.26884922877038e-15,0.9945704533204995,0.005429546679487946,6.268367097002388e-15]",1
37,benjamin,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]","[1.4324571415300123e-22,1.8274966160592423e-08,1.804931184463729e-20,0.9999999817250339]",3
38,blaz02,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]","[1.4324571415300123e-22,1.8274966160592423e-08,1.804931184463729e-20,0.9999999817250339]",3
39,Bojan1825,0.125,1.0,0.6666666666666666,"[0.125,1.0,0.6666666666666666]","[1.010745910443557e-07,6.064005380257934e-10,1.8837131793309497e-11,0.9999998983001713]",3
40,Bor,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]","[3.779959384712131e-15,0.999999999303903,6.960894698066177e-10,3.779959384712131e-15]",1
41,BORIS MREVLJE,0.5,1.0,0.0,"[0.5,1.0,0.0]","[2.7951937507762385e-23,1.421442526456693e-09,2.9382505395609934e-08,0.9999999691960522]",3
42,BorutKolar,0.5,1.0,0.0,"[0.5,1.0,0.0]","[2.7951937507762385e-23,1.421442526456693e-09,2.9382505395609934e-08,0.9999999691960522]",3
43,Bo��tjan M.,0.16666666666666669,1.0,0.7142857142857143,"[0.16666666666666669,1.0,0.7142857142857143]","[2.439767481239966e-08,4.3484997499042e-10,3.0535203863533325e-12,0.9999999751644217]",3
44,BostjanH,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]","[4.7441799253274494e-11,0.002229865031090738,0.9977701349214675,7.254227058952538e-17]",2
45,Bo��tjanK,0.08333333333333333,1.0,0.6153846153846154,"[0.08333333333333333,1.0,0.6153846153846154]","[4.228864520045572e-09,8.386869740621961e-10,8.822264436902094e-11,0.9999999948442257]",3
46,Branklo,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[5.1262431540120475e-23,3.923101869979592e-10,3.0749618955148853e-14,0.9999999996076591]",3
47,BrunoB,0.14285714285714288,0.875,0.6666666666666666,"[0.14285714285714288,0.875,0.6666666666666666]","[0.9984316155573297,0.0006110823389390523,0.0009573021037313152,6.1991881591213395e-18]",0
48,Buda,0.5,0.4,0.3333333333333333,"[0.5,0.4,0.3333333333333333]","[5.132495331223945e-16,0.9999871871124403,1.2812887558689662e-05,5.132495331223945e-16]",1
49,Buki,0.1,1.0,0.8,"[0.1,1.0,0.8]","[1.629518271742888e-07,2.0011838404137744e-10,3.5935040529485727e-13,0.999999836847695]",3
50,chibu79,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]","[4.503962163791985e-08,5.777048627400309e-11,5.914566602828081e-15,0.999999954902602]",3
