,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
38,27080783-250a-3521-f816-6e7b29cf,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",1.0295274716942227,-0.06057453542257918,0
39,2c1d08f2-a1ba-6915-db46-1a7721b9,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",1.0750960527804978,-0.31204472676910333,0
40,2ee1d86b-74ed-47f3-5733-61cc4821,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",1.0316721354561427,-0.07492904104555131,0
41,2f7f0e40-1234-75db-2bcf-bdfbdfbc,0.4615384615384616,0.0,1.0,"[0.4615384615384616,0.0,1.0]",1.0387749532038715,-0.10908757763623811,0
42,31a88be4-13ad-06c2-119c-3551a490,0.7692307692307693,0.3333333333333333,1.0,"[0.7692307692307693,0.3333333333333333,1.0]",1.121333460328742,-0.5546099378373979,1
43,3244a4c0-3f85-3017-5694-2f5647cb,0.5384615384615384,0.0,0.8333333333333334,"[0.5384615384615384,0.0,0.8333333333333334]",0.8841407573558572,-0.1879323991241828,0
44,3447bacb-f54d-55c2-592f-3a3ff765,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",1.0914463520378754,-0.394716305573449,1
45,34a3d1d8-74eb-8a4e-0506-b9ca1551,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",1.0316721354561427,-0.07492904104555131,0
46,35813a40-7aa6-5336-237b-c93f1759,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]",0.9965449239604394,-0.6721851648693612,1
47,35ce5334-aefb-9a61-d1c3-7f01a776,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",1.1370149331241508,-0.6461864969199733,1
48,35daa597-4591-5a82-57a9-1fba2635,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",1.0240773719417635,-0.03301734248779728,0
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]",0.9126211205347792,-0.3451012687157604,0
50,3681eecc-7864-c1c1-0024-4d4234be,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]",1.178294186686586,-0.8689476770205533,1
51,36a67ef1-5f22-7846-3f95-faec67c9,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",1.0202799901845738,-0.012061493208920276,0
52,37ada581-75c2-560e-2eb3-3db3a231,0.38461538461538464,0.3333333333333333,0.5,"[0.38461538461538464,0.3333333333333333,0.5]",0.5834510207075085,-0.40304006459196096,2
53,37d73652-37e1-cc5f-6c84-3b9a528c,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",0.8443953694289895,-0.1580592223327074,0
