,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
160,bc59fb83-de20-c8dc-0046-06b5a884,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]","[0.9994013427905205,0.00024366808167109572,0.00035498912780826977,9.296733821480621e-17]",0
161,bde2c3b9-096f-3106-3105-39e3c690,0.0,0.875,0.0,ordinary,"[0.0,0.875,0.0]","[0.018513065966655844,2.3203775515908335e-16,0.9814869340333437,2.32037755139817e-16]",2
162,be7e4626-8ea8-e4e7-bd98-df4d6b7e,0.4,0.75,0.4,ordinary,"[0.4,0.75,0.4]","[0.07891013960205208,0.4856669820645878,0.4354228783333598,2.746169755022343e-16]",1
163,be8f96e0-decb-0d0f-f5a0-da9a731a,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]","[1.452090357262627e-16,0.892361906730172,0.10763809326982772,1.452090357262046e-16]",1
164,bf2d4ca4-7b76-c83f-c25b-69db4d40,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]","[0.020544191159295004,3.246635224748437e-16,0.9794558088407044,3.246635224526483e-16]",2
165,c0a279eb-433f-7d20-4fe4-30c7bf1d,0.0,0.3333333333333333,0.0,ordinary,"[0.0,0.3333333333333333,0.0]","[0.0019649654125142198,9.700886085850541e-16,0.9980350345874839,9.700886085845506e-16]",2
166,c0e4f1b6-286e-9a62-9b55-08b882ec,0.0,1.0,0.2307692307692308,ordinary,"[0.0,1.0,0.2307692307692308]","[0.19567375290225353,2.288119305887601e-15,0.804326247097744,1.712458436362098e-16]",2
167,c0f2c451-9f22-3dc5-b0ab-d6747910,0.9,1.0,0.1,ordinary,"[0.9,1.0,0.1]","[0.9998143543311164,7.000555958736241e-05,0.00011564010929603012,1.262213076938926e-16]",0
168,c1b850ff-362a-890f-0c23-014773bb,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]","[0.9994013427905205,0.00024366808167109572,0.00035498912780826977,9.296733821480621e-17]",0
169,c24334a0-477a-6656-021d-668ba57f,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]","[0.020544191159295004,3.246635224748437e-16,0.9794558088407044,3.246635224526483e-16]",2
170,c3385c79-a01d-377d-9eac-6cf460e9,0.125,1.0,0.125,ordinary,"[0.125,1.0,0.125]","[0.37589420818603037,4.536522973203811e-15,0.6241057918139651,1.4612663102060276e-16]",2
171,c9f74898-df82-973e-76ca-08186d7c,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]","[0.9994013427905205,0.00024366808167109572,0.00035498912780826977,9.296733821480621e-17]",0
172,cc1e5f29-a1bd-4a13-5c8d-dbcaa11b,0.6666666666666666,1.0,0.16666666666666666,ordinary,"[0.6666666666666666,1.0,0.16666666666666666]","[0.9947842004513807,0.0007838312102840232,0.0044319683383352475,7.087995038012547e-17]",0
173,ce280b9f-f7cf-eef4-dd34-fdc44bfe,0.25,0.6666666666666666,0.25,ordinary,"[0.25,0.6666666666666666,0.25]","[0.7212209381854234,6.588309915900448e-07,0.2787784028362958,1.4728907819540641e-10]",0
174,ce4913ec-b21e-60b6-d455-4bc5b2b4,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]","[8.093256543850968e-13,0.8843240304011517,0.11567290440055068,3.0651974880609877e-06]",1
175,ceff0481-0e5a-e1d8-5361-b5ba2a52,0.0,0.875,0.5555555555555556,ordinary,"[0.0,0.875,0.5555555555555556]","[2.8443994313228186e-06,8.025698119742898e-05,0.9999168986193709,2.2059970695739537e-16]",2
176,cf23b843-3219-15e7-f878-361bbfeb,0.8333333333333334,0.8,0.16666666666666666,ordinary,"[0.8333333333333334,0.8,0.16666666666666666]","[0.9913008780061321,0.008305588400470942,0.00039353359339704586,7.698053258398381e-17]",0
177,d0fe3bbe-eeeb-e784-986f-51c01c74,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]","[1.452090357262627e-16,0.892361906730172,0.10763809326982772,1.452090357262046e-16]",1
