,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
10,0c9621b0-ff94-77e8-727f-5420882d,0.19999999999999998,1.0,0.5,"[0.19999999999999998,1.0,0.5]",0.36694838681395836,1.0692261478882843,"[0.36694838681395836,1.0692261478882843]","[0.00019597130408018957,0.9937616437018088,1.9266142438064255e-16,0.006042384994110851]",1
11,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,"[1.0,1.0,0.09090909090909093]",-0.4764461369544465,1.295186301239225,"[-0.4764461369544465,1.295186301239225]","[0.9716915365270393,4.8114564406110814e-09,6.133985782596985e-17,0.02830845866150424]",0
12,101c246c-3f77-d919-ca38-8d19141e,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,"[-0.5402240115038325,1.2810683788796473]","[0.9673377968185414,1.7273944041941692e-09,7.665183915946364e-17,0.032662201454064]",0
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.5,0.6666666666666666,0.0,"[0.5,0.6666666666666666,0.0]",-0.24423390594085337,0.7937350017595481,"[-0.24423390594085337,0.7937350017595481]","[2.5867853391683487e-16,0.11026644514104443,2.5584313933163706e-16,0.889733554858955]",3
14,135b42ab-ac52-d14a-c37c-6ffeca28,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,"[-0.5402240115038325,1.2810683788796473]","[0.9673377968185414,1.7273944041941692e-09,7.665183915946364e-17,0.032662201454064]",0
15,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,"[1.0,0.3333333333333333,0.14285714285714285]",-0.5435140364561917,0.6904504361657997,"[-0.5435140364561917,0.6904504361657997]","[6.324201004877989e-16,0.004165159761802056,6.324201004877989e-16,0.9958348402381967]",3
16,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.36483485649302094,1.319892665368486,"[-0.36483485649302094,1.319892665368486]","[0.8535020254926093,1.9005335257148886e-07,3.345357065038376e-16,0.14649778445403774]",0
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]",-0.06884475093004183,0.8325592882483868,"[-0.06884475093004183,0.8325592882483868]","[4.551114553077354e-10,0.4800125685586674,2.2004210956090233e-16,0.5199874309862208]",3
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,"[0.19999999999999998,0.8,0.8333333333333334]",0.569746873721765,0.9371508884230665,"[0.569746873721765,0.9371508884230665]","[0.00011195237886386556,0.998509058439568,3.20712330743086e-16,0.0013789891815676417]",1
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,"[1.0,0.8571428571428571,0.125]",-0.47471066240790916,1.169165540135731,"[-0.47471066240790916,1.169165540135731]","[0.46951429050251486,5.275687618852759e-06,5.497408347316354e-16,0.5304804338098658]",3
