,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
155,Marko L,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-1.1027396218827075,0.6475161171907208,"[-1.1027396218827075,0.6475161171907208]","[5.032086025476731e-17,0.8663267288083892,0.13367327119161082]",1
156,marko maticic,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",-0.4474385653535583,0.5747347032613557,"[-0.4474385653535583,0.5747347032613557]","[5.320057399831315e-16,5.320057399831315e-16,0.9999999999999989]",2
157,Ma��a,0.7692307692307693,0.02083333333333333,1.0,"[0.7692307692307693,0.02083333333333333,1.0]",-0.971103608257674,0.7975766513613536,"[-0.971103608257674,0.7975766513613536]","[0.9841268237088936,1.3678173794565881e-06,0.015871808473726965]",0
158,masa sarusic,0.9230769230769232,0.027777777777777773,0.9090909090909092,"[0.9230769230769232,0.027777777777777773,0.9090909090909092]",-1.1011368586979402,0.6751580450898115,"[-1.1011368586979402,0.6751580450898115]","[3.828410325291756e-17,0.9008132150471451,0.0991867849528549]",1
159,Mate Vitaljic,0.7692307692307693,0.02083333333333333,0.7777777777777778,"[0.7692307692307693,0.02083333333333333,0.7777777777777778]",-0.9220562080311558,0.5824743918546996,"[-0.9220562080311558,0.5824743918546996]","[1.6585316853011784e-16,9.807042690216429e-09,0.9999999901929572]",2
160,Matija Osterc,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-1.178984920018236,0.6458442324186255,"[-1.178984920018236,0.6458442324186255]","[2.3814599803448178e-17,0.9630257387818191,0.03697426121818097]",1
161,Matija Turkalj,0.8461538461538461,0.10000000000000002,0.9,"[0.8461538461538461,0.10000000000000002,0.9]",-1.024627267359291,0.6741539892015034,"[-1.024627267359291,0.6741539892015034]","[2.403294138944726e-16,0.059849232258481516,0.9401507677415182]",2
162,Matjazzavrl,0.6153846153846154,0.08333333333333333,0.8571428571428571,"[0.6153846153846154,0.08333333333333333,0.8571428571428571]",-0.7899759041912453,0.6850807523067809,"[-0.7899759041912453,0.6850807523067809]","[1.609355068921019e-16,1.6546176725547194e-16,0.9999999999999997]",2
163,Mauro,0.6923076923076923,0.10416666666666667,0.75,"[0.6923076923076923,0.10416666666666667,0.75]",-0.8415023143781516,0.5620000950220139,"[-0.8415023143781516,0.5620000950220139]","[1.4551176518944445e-16,1.45604808963633e-15,0.9999999999999984]",2
164,MedoPiki,1.0,0.13333333333333333,1.0,"[1.0,0.13333333333333333,1.0]",-1.1969870215768934,0.7332452996590241,"[-1.1969870215768934,0.7332452996590241]","[0.1233613193615099,0.8316579228345748,0.044980757803915083]",1
165,melina lako��,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",-0.9007376339444261,0.7340215069724261,"[-0.9007376339444261,0.7340215069724261]","[1.9974112476639153e-16,1.781341819493227e-08,0.9999999821865816]",2
166,mihaelas,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.8980329710701317,0.7806672603021416,"[-0.8980329710701317,0.7806672603021416]","[1.4504982440279572e-09,6.299265454067423e-09,0.9999999922502363]",2
167,Miho,0.8461538461538461,0.047619047619047616,0.8,"[0.8461538461538461,0.047619047619047616,0.8]",-1.0021781430780914,0.5838735697140089,"[-1.0021781430780914,0.5838735697140089]","[2.1757909339617307e-16,0.000384437088229892,0.9996155629117698]",2
