,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
20,Marco,0.3333333333333333,0.8333333333333334,0.0,"[0.3333333333333333,0.8333333333333334,0.0]",-0.35929218502304866,0.8224747299078065,"[-0.35929218502304866,0.8224747299078065]","[2.905382000676495e-16,0.9999999999999997]",1
21,Maru��aaaa,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
22,Matea Pavicic,0.25,1.0,0.0,"[0.25,1.0,0.0]",-0.2812243386612233,0.9916717558469424,"[-0.2812243386612233,0.9916717558469424]","[6.057591776586877e-17,1.0]",1
23,miranF,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
24,Nada,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
25,Nikolaj,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
26,Nina1,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
27,NinaP,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-1.0204066889210104,0.634991837466991,"[-1.0204066889210104,0.634991837466991]","[6.775278528621217e-16,0.9999999999999993]",1
28,noordung,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
29,p2035e,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.5311014776052818,0.9838349559176512,"[-0.5311014776052818,0.9838349559176512]","[1.2814962553471582e-16,0.9999999999999999]",1
30,Paval,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",-0.36451671830924276,0.9890594892038453,"[-0.36451671830924276,0.9890594892038453]","[5.903582075215769e-17,1.0]",1
31,poppy,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]",-0.2786120720181262,0.908379376198923,"[-0.2786120720181262,0.908379376198923]","[1.0141621415107274e-16,1.0]",1
32,roman113,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
33,Safet,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",-0.36451671830924276,0.9890594892038453,"[-0.36451671830924276,0.9890594892038453]","[5.903582075215769e-17,1.0]",1
34,Spasic Vladimir,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",-0.36451671830924276,0.9890594892038453,"[-0.36451671830924276,0.9890594892038453]","[5.903582075215769e-17,1.0]",1
35,stinfio,0.2,0.9166666666666666,0.0,"[0.2,0.9166666666666666,0.0]",-0.22863664422931457,0.9099467361847812,"[-0.22863664422931457,0.9099467361847812]","[1.6153401051917421e-16,0.9999999999999999]",1
36,Tone,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-1.0204066889210104,0.634991837466991,"[-1.0204066889210104,0.634991837466991]","[6.775278528621217e-16,0.9999999999999993]",1
37,Toni Petkovic,0.16666666666666666,1.0,0.0,"[0.16666666666666666,1.0,0.0]",-0.19793195901320382,0.9942840224900396,"[-0.19793195901320382,0.9942840224900396]","[8.187310167804426e-17,1.0]",1
38,Valentin,0.5,0.9166666666666666,0.0,"[0.5,0.9166666666666666,0.0]",-0.5284892109621847,0.9005425762696317,"[-0.5284892109621847,0.9005425762696317]","[4.379973093154996e-17,1.0]",1
39,Vanda,0.5,0.75,0.0,"[0.5,0.75,0.0]",-0.5232646776759906,0.7339578169735929,"[-0.5232646776759906,0.7339578169735929]","[0.999999912257304,8.774269590282502e-08]",0
40,varga,0.19999999999999998,1.0,0.0,"[0.19999999999999998,1.0,0.0]",-0.23124891087241162,0.9932391158328007,"[-0.23124891087241162,0.9932391158328007]","[7.021759103192198e-17,1.0]",1
41,Vedran Nikolic,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
42,��S,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-1.0204066889210104,0.634991837466991,"[-1.0204066889210104,0.634991837466991]","[6.775278528621217e-16,0.9999999999999993]",1
