,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,probability,prediction
32,42779e7e-90bc-7eac-5aa8-a9874f90,0.2727272727272727,1.0,0.3636363636363637,ordinary,"[0.2727272727272727,1.0,0.3636363636363637]",-0.013485541506325416,0.9814699453220649,"[-0.013485541506325416,0.9814699453220649]","[8.547233025743043e-08,0.05382442315364719,0.9461754913740225]",2
33,440d90ef-c7d7-0530-608e-8c0fc440,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",0.15689507714905704,0.9634884241490601,"[0.15689507714905704,0.9634884241490601]","[9.167041552415988e-11,0.9999429043933705,5.709551495913555e-05]",1
34,45d78fe4-7d30-3b18-371e-57bb06c7,0.8888888888888888,1.0,0.1111111111111111,ordinary,"[0.8888888888888888,1.0,0.1111111111111111]",-0.6710406670326419,0.9979415818700463,"[-0.6710406670326419,0.9979415818700463]","[0.007587337349456462,2.3814210219981457e-05,0.9923888484403235]",2
35,4641102c-f3d3-3878-6d00-1c49a28c,0.09090909090909091,0.7,0.2727272727272727,ordinary,"[0.09090909090909091,0.7,0.2727272727272727]",0.08547658028835943,0.6855297413442054,"[0.08547658028835943,0.6855297413442054]","[6.580113902810498e-09,0.999999993419886,1.4991268214167474e-16]",1
36,4b21d918-4ac0-0787-3094-37c9432c,0.5454545454545454,0.6,0.2727272727272727,ordinary,"[0.5454545454545454,0.6,0.2727272727272727]",-0.3063381515922531,0.5882233078851221,"[-0.3063381515922531,0.5882233078851221]","[0.07416046285771634,0.9258395371422835,2.1035600622900593e-16]",1
37,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.25,0.7142857142857143,0.5,ordinary,"[0.25,0.7142857142857143,0.5]",0.06752358404930636,0.6889899619936414,"[0.06752358404930636,0.6889899619936414]","[1.7260800572706095e-08,0.9999999827391993,1.4249934670174674e-16]",1
38,4cc576c8-f218-94be-fef3-4b6fd86e,0.3076923076923077,0.8333333333333334,0.3076923076923077,ordinary,"[0.3076923076923077,0.8333333333333334,0.3076923076923077]",-0.07758869608913874,0.8181043836826675,"[-0.07758869608913874,0.8181043836826675]","[2.0647326125494856e-05,0.9999793526738743,1.8880716233094006e-16]",1
39,53cb26b0-7222-8eb4-ef0d-29e7a801,0.8,0.25,0.2,ordinary,"[0.8,0.25,0.2]",-0.5726585492000453,0.24387101429528785,"[-0.5726585492000453,0.24387101429528785]","[0.9637966985539356,0.03620330144606419,2.987208617353569e-16]",0
40,5409088d-b542-9cac-7fac-9ab00271,0.75,0.7272727272727273,0.25,ordinary,"[0.75,0.7272727272727273,0.25]",-0.48899010095997897,0.7176471034751706,"[-0.48899010095997897,0.7176471034751706]","[0.8257995295723978,0.17420047042760192,2.0466553827781342e-16]",0
41,54e1c86d-b289-f693-e3a3-5d393778,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",0.3140022569057689,0.7569569227770879,"[0.3140022569057689,0.7569569227770879]","[3.292732104950605e-15,0.9999999999999963,4.631697810246144e-16]",1
42,57b97824-05f2-21af-72f1-95f7d697,0.5,0.5714285714285714,0.125,ordinary,"[0.5,0.5714285714285714,0.125]",-0.34483099626546815,0.5670406529301857,"[-0.34483099626546815,0.5670406529301857]","[0.1825941886775086,0.8174058113224911,2.2970809489433044e-16]",1
43,5d557ed3-ce5e-24e4-a66e-aa966d6c,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",0.06602330052419553,0.6414348343669023,"[0.06602330052419553,0.6414348343669023]","[2.206592749667131e-08,0.9999999779340722,1.50900975015908e-16]",1
44,5e97ad83-2b2c-529e-f831-deac0066,0.6,0.5,0.2,ordinary,"[0.6,0.5,0.2]",-0.3937698406429463,0.49240932713055746,"[-0.3937698406429463,0.49240932713055746]","[0.44025550885179143,0.5597444911482083,2.4432325775257043e-16]",1
45,5fad3306-616d-9b57-3411-75efa34d,0.3333333333333333,0.6,0.3333333333333333,ordinary,"[0.3333333333333333,0.6,0.3333333333333333]",-0.0935937235103968,0.5839083958295408,"[-0.0935937235103968,0.5839083958295408]","[5.327148117423198e-05,0.9999467285188256,1.3843856438714294e-16]",1
46,6408c27b-ab13-d145-5b44-24f30202,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.48039756804343503,0.9900082889737666,"[-0.48039756804343503,0.9900082889737666]","[0.009304758307664621,0.0003796118990017662,0.9903156297933337]",2
47,6613f3e0-2e08-24f1-52ba-bfab8807,0.8888888888888888,0.125,0.1111111111111111,ordinary,"[0.8888888888888888,0.125,0.1111111111111111]",-0.6986083768065539,0.12411611172871692,"[-0.6986083768065539,0.12411611172871692]","[0.9863664304249704,0.013633569575028214,1.3975392569082125e-15]",0
48,6809fd15-56b5-3424-e33d-88eb107c,0.8,0.25,0.2,ordinary,"[0.8,0.25,0.2]",-0.5726585492000453,0.24387101429528785,"[-0.5726585492000453,0.24387101429528785]","[0.9637966985539356,0.03620330144606419,2.987208617353569e-16]",0
49,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,0.14285714285714285,1.0,0.8571428571428571,ordinary,"[0.14285714285714285,1.0,0.8571428571428571]",0.35298512182366987,0.9553284657414582,"[0.35298512182366987,0.9553284657414582]","[1.2618353158127461e-15,0.9999999812357064,1.8764292255589957e-08]",1
