,users,intensityNormalized,order,freq,features,probability,prediction
23,Ankica,0.375,1.0,0.09090909090909093,"[0.375,1.0,0.09090909090909093]","[6.075409878012938e-10,4.56118312994609e-23,0.999999990528306,8.86415301586653e-09]",2
24,Annie,0.0,1.0,1.0,"[0.0,1.0,1.0]","[3.2508083021731607e-15,4.979569802177144e-07,0.9999995020430146,1.9457307271348083e-15]",2
25,ante vrataric,0.08333333333333333,1.0,0.3333333333333333,"[0.08333333333333333,1.0,0.3333333333333333]","[2.4959104212544487e-08,2.6241397930761475e-09,0.9999999645030815,7.913674411560773e-09]",2
26,anton jane��,0.10000000000000002,1.0,0.3636363636363637,"[0.10000000000000002,1.0,0.3636363636363637]","[1.9879181471273588e-08,6.077453933146484e-10,0.9999999737038792,5.809193868251045e-09]",2
27,Anze-G,0.25,1.0,0.25,"[0.25,1.0,0.25]","[9.316825662289022e-09,1.620490390853981e-23,0.9999999832635182,7.419656200353988e-09]",2
28,Anzze99,0.04166666666666666,0.875,0.6666666666666666,"[0.04166666666666666,0.875,0.6666666666666666]","[0.002494691638880893,0.9973900689992261,1.1229012147422618e-17,0.00011523936189300994]",1
29,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]","[3.700756238596051e-11,3.9854132162574733e-07,0.9999996013990371,2.2633709435070583e-11]",2
30,benjamin,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]","[2.2226772908295147e-11,7.652928269030156e-23,0.9999999852060428,1.4771730366560294e-08]",2
31,blaz02,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]","[2.2226772908295147e-11,7.652928269030156e-23,0.9999999852060428,1.4771730366560294e-08]",2
32,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,"[0.04166666666666666,1.0,0.6666666666666666]","[1.1930352961615844e-10,2.5822029751382857e-07,0.9999997415907735,6.962529507851213e-11]",2
33,BORIS MREVLJE,0.25,1.0,0.0,"[0.25,1.0,0.0]","[3.649905961686053e-08,3.738262522518274e-23,0.9999999608342638,2.6666765572039245e-09]",2
34,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,"[0.013888888888888895,1.0,0.7142857142857143]","[3.9732555015793395e-11,4.86555189175121e-07,0.9999995133777733,2.7305013753628912e-11]",2
35,BostjanH,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]","[0.9950295762202933,2.074230493496122e-10,5.0544465708107933e-17,0.004970423572283832]",0
36,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,"[0.006944444444444438,1.0,0.6153846153846154]","[3.595460126080564e-10,1.2306977804032522e-07,0.9999998762661899,3.0448602807611825e-10]",2
37,Branklo,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]","[1.4341778116030739e-11,5.013409022720944e-07,0.9999994986357813,8.974541293024695e-12]",2
38,BrunoB,0.02380952380952382,0.875,0.6666666666666666,"[0.02380952380952382,0.875,0.6666666666666666]","[0.002178937123263235,0.9977228860271588,8.396800994183213e-18,9.817684957799314e-05]",1
39,Buda,0.16666666666666666,0.4,0.3333333333333333,"[0.16666666666666666,0.4,0.3333333333333333]","[4.2000558849625495e-16,2.1216177789029325e-06,4.1666123398184876e-16,0.9999978783822202]",3
40,Buki,0.0,1.0,0.8,"[0.0,1.0,0.8]","[3.870034050853999e-12,5.797939132503086e-07,0.9999994201994981,2.7185710943661048e-12]",2
41,chibu79,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]","[7.564914063358842e-14,6.588714316341789e-07,0.9999993411284454,4.7355552395148435e-14]",2
