,users,followingRatio,order,freq,features,probability,prediction
32,1d3ed189-1162-0dd0-bcb2-fda83a50,0.16666666666666666,0.8,0.8333333333333334,"[0.16666666666666666,0.8,0.8333333333333334]","[0.9999613466229479,4.220771422407114e-17,2.8084169366548002e-05,4.220771422407113e-17,1.0569207685706569e-05]",0
33,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,"[0.5,0.75,0.4]","[5.724288412118199e-16,0.00036692828368304454,0.9842543536907771,5.716072881319748e-16,0.015378718025538675]",2
34,1d90b45b-4d8d-42a1-43cd-38e1a241,0.2,0.75,0.8,"[0.2,0.75,0.8]","[0.9995019637640096,9.562397711225962e-17,0.0001740654037885898,9.562397711220646e-17,0.0003239708322016641]",0
35,1e81aa64-c3c9-ee4f-ce3c-c4248be0,1.0,0.0,0.0,"[1.0,0.0,0.0]","[1.6365021765891191e-21,1.1241484411474848e-09,3.052615283395232e-16,0.9999999988758513,1.6365021765891191e-21]",3
36,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,"[0.3333333333333333,0.6666666666666666,0.75]","[0.00014876940329713233,2.7246095511636085e-16,0.0003028307425012573,2.724609367353317e-16,0.9995483998542011]",4
37,1f96865d-62d4-b049-1788-cfccf324,0.25,1.0,1.0,"[0.25,1.0,1.0]","[0.9783637345794316,2.2324939020291707e-17,2.2335599836838095e-10,2.2324939020291707e-17,0.021636265197212436]",0
38,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,"[0.3333333333333333,0.4,0.3333333333333333]","[6.940293724059354e-12,0.0044676778889974214,0.9907028660193306,3.2245058520984246e-16,0.004829456084731439]",2
39,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,1.0,0.9090909090909092,0.08333333333333333,"[1.0,0.9090909090909092,0.08333333333333333]","[2.6947474130055125e-16,0.9999967478115477,3.2521884515125893e-06,2.6947474130055125e-16,2.6947474130055125e-16]",1
40,258d2e1f-e3e8-2612-8285-895fb96d,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[0.006776499886993207,2.5321946881939777e-16,0.00015665273869219264,2.53219468409587e-16,0.993066847374314]",4
41,25a03b67-3ce1-77fc-c715-72ba385a,0.16666666666666666,0.9090909090909092,0.0,"[0.16666666666666666,0.9090909090909092,0.0]","[2.703359506644151e-18,1.0234365013468652e-09,7.130586539760214e-10,0.9999999982635048,6.532745849020168e-23]",3
