,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,features,probability,prediction
35,BostjanH,0.0,13.0,0.0,1.0,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.0,0.0,1.0,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.07692307692307693]",0.7298991939653579,0.4928722491579286,0.4928722491579286,"[0.7298991939653579,0.4928722491579286,0.4928722491579286]","[2.701236759834932e-15,2.7012367598337944e-15,0.9999999999999946]",2
36,BoštjanK,0.9230769230769231,13.0,0.07692307692307693,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,"(8,[0,1,4,5],[0.9230769230769231,0.07692307692307693,1.0,0.9230769230769231])",-1.0027668810574832,-0.26783101580954105,-0.26783101580954105,"[-1.0027668810574832,-0.26783101580954105,-0.26783101580954105]","[0.05125987192186972,0.9482910953419271,0.0004490327362030393]",1
37,Branklo,0.75,4.0,0.25,0.0,0.0,1.0,0.5,0.25,0.0,"[0.75,0.25,0.0,0.0,1.0,0.5,0.25,0.0]",-0.8933062808479562,-0.22076114443041997,-0.22076114443041997,"[-0.8933062808479562,-0.22076114443041997,-0.22076114443041997]","[0.20183314187782148,0.7956969596811775,0.0024698984410011222]",1
38,BrunoB,0.6666666666666666,9.0,0.2222222222222222,0.1111111111111111,0.0,1.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,"[0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,1.0,0.3333333333333333,0.4444444444444444,0.1111111111111111]",-0.8321194087668127,-0.04565974461894937,-0.04565974461894937,"[-0.8321194087668127,-0.04565974461894937,-0.04565974461894937]","[0.02441456262248658,0.9734867193875935,0.002098717989919924]",1
39,Buda,0.3333333333333333,6.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,0.5,"[0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,0.5]",0.5973430909658973,-0.507705694104588,-0.507705694104588,"[0.5973430909658973,-0.507705694104588,-0.507705694104588]","[0.9655633927892165,2.9912516112263142e-15,0.034436607210780464]",0
40,Buki,1.0,10.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9])",-1.0511918387547639,-0.2386926787460431,-0.2386926787460431,"[-1.0511918387547639,-0.2386926787460431,-0.2386926787460431]","[0.04985062189497401,0.9498420121162888,0.0003073659887372788]",1
41,chibu79,0.9166666666666666,12.0,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.9166666666666666,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.9999649723730304,-0.24548258137822543,-0.24548258137822543,"[-0.9999649723730304,-0.24548258137822543,-0.24548258137822543]","[0.05416103331661911,0.9454131676484714,0.00042579903490957743]",1
42,Cromiza,0.2727272727272727,11.0,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.18181818181818182,"[0.2727272727272727,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.18181818181818182]",0.30534002147593836,0.021340660939813152,0.021340660939813152,"[0.30534002147593836,0.021340660939813152,0.021340660939813152]","[4.136305747749684e-07,1.9629292575958133e-15,0.9999995863694233]",2
43,cvjetko,0.6666666666666666,12.0,0.25,0.08333333333333333,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.6666666666666666,0.25,0.08333333333333333,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.8372413624091628,-0.21823613422591032,-0.21823613422591032,"[-0.8372413624091628,-0.21823613422591032,-0.21823613422591032]","[0.537687919185567,0.4534663747895299,0.008845706024903144]",0
44,Dalka,0.5,8.0,0.0,0.5,0.0,1.0,0.125,0.375,0.375,"[0.5,0.0,0.5,0.0,1.0,0.125,0.375,0.375]",-0.6848140712565551,0.459675790255478,0.459675790255478,"[-0.6848140712565551,0.459675790255478,0.459675790255478]","[2.2322467579772083e-11,0.9937661686376775,0.006233831339999966]",1
45,Damir Mulalic,0.16666666666666666,12.0,0.25,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.0,0.0,"[0.16666666666666666,0.25,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.0,0.0]",0.2957691831826989,0.04372271511802514,0.04372271511802514,"[0.2957691831826989,0.04372271511802514,0.04372271511802514]","[1.384837532491139e-07,1.8590616546673275e-15,0.9999998615162449]",2
46,damir.juretic,1.0,11.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.09090909090909091,0.0,"(8,[0,4,5,6],[1.0,1.0,0.8181818181818182,0.09090909090909091])",-1.0529197489588962,-0.21514555983448716,-0.21514555983448716,"[-1.0529197489588962,-0.21514555983448716,-0.21514555983448716]","[0.06002469893252656,0.9396448257935767,0.0003304752738967657]",1
47,Danilo4783,0.09090909090909091,11.0,0.2727272727272727,0.6363636363636364,0.8181818181818182,0.18181818181818182,0.9090909090909091,0.0,0.0,"[0.09090909090909091,0.2727272727272727,0.6363636363636364,0.8181818181818182,0.18181818181818182,0.9090909090909091,0.0,0.0]",0.5262875100675861,0.043907951754029007,0.043907951754029007,"[0.5262875100675861,0.043907951754029007,0.043907951754029007]","[3.0516341165808215e-09,2.471567699869571e-15,0.9999999969483634]",2
